Original Concentration,RF_Optimized Concentration,GB_Optimized Concentration,ADA_Optimized Concentration,Stacked_Optimized_Concentration
0.0,0.02,0.013,0.004,0.008
0.0,0.005,0.005,0.021,0.009
0.0,0.011,0.009,0.01,0.003
0.0,0.013,0.002,0.006,0.007
0.0,0.009,0.003,0.015,0.004
0.0,0.003,0.0,0.007,0.003
0.0,0.014,0.009,0.026,0.009
0.0,0.002,0.005,0.026,0.012
0.0,0.0,0.01,0.023,0.013
0.0,0.032,0.026,0.044,0.001
0.0,0.011,0.006,0.002,0.002
0.0,0.011,0.009,0.01,0.003
0.0,0.0,0.01,0.023,0.013
0.0,0.014,0.0,0.007,0.001
0.0,0.005,0.001,0.02,0.007
0.0,0.002,0.005,0.026,0.012
0.0,0.013,0.001,0.002,0.005
0.0,0.013,0.004,0.022,0.004
0.0,0.01,0.01,0.001,0.0
0.0,0.003,0.0,0.007,0.003
0.0,0.004,0.003,0.023,0.009
0.0,0.005,0.005,0.025,0.01
0.01,0.005,0.005,0.025,0.01
0.01,0.066,0.139,0.073,0.09
0.01,0.018,0.007,0.012,0.012
0.01,0.013,0.002,0.006,0.007
0.01,0.022,0.019,0.007,0.01
0.01,0.01,0.017,0.004,0.006
0.01,0.032,0.026,0.044,0.001
0.02,0.013,0.001,0.002,0.005
0.02,0.01,0.017,0.004,0.006
0.02,0.005,0.0,0.001,0.001
0.02,0.03,0.018,0.01,0.011
0.03,0.012,0.011,0.003,0.001
0.03,0.002,0.005,0.026,0.012
0.03,0.034,0.003,0.007,0.013
0.03,0.01,0.006,0.001,0.004
0.04,0.011,0.012,0.003,0.002
0.04,0.005,0.001,0.006,0.002
0.04,0.062,0.026,0.051,0.049
0.04,0.018,0.007,0.012,0.012
0.04,0.011,0.012,0.003,0.002
0.04,0.022,0.019,0.007,0.01
0.05,0.054,0.05,0.06,0.056
0.05,0.036,0.022,0.018,0.025
0.05,0.013,0.004,0.022,0.004
0.05,0.011,0.006,0.002,0.002
0.05,0.01,0.01,0.001,0.0
0.05,0.052,0.054,0.053,0.054
0.05,0.039,0.033,0.03,0.034
0.06,0.065,0.049,0.089,0.071
0.06,0.067,0.059,0.065,0.065
0.06,0.054,0.05,0.06,0.056
0.06,0.005,0.001,0.003,0.001
0.07,0.035,0.007,0.02,0.021
0.07,0.073,0.071,0.071,0.073
0.07,0.08,0.071,0.099,0.086
0.07,0.036,0.017,0.029,0.028
0.08,0.062,0.026,0.051,0.049
0.09,0.078,0.068,0.09,0.081
0.1,0.014,0.0,0.007,0.001
0.1,0.068,0.028,0.069,0.058
0.11,0.073,0.071,0.071,0.073
0.11,0.039,0.033,0.03,0.034
0.11,0.252,0.237,0.239,0.25
0.12,0.039,0.008,0.034,0.029
0.12,0.03,0.018,0.01,0.011
0.12,0.035,0.007,0.02,0.021
0.12,0.02,0.013,0.004,0.008
0.13,0.053,0.045,0.046,0.049
0.13,0.034,0.003,0.007,0.013
0.14,0.036,0.022,0.018,0.025
0.14,0.066,0.139,0.073,0.09
0.14,0.035,0.007,0.02,0.021
0.15,0.079,0.151,0.097,0.108
0.15,0.1,0.091,0.086,0.094
0.15,0.08,0.071,0.099,0.086
0.15,0.091,0.085,0.104,0.096
0.16,0.057,0.023,0.04,0.042
0.17,0.041,0.032,0.035,0.036
0.17,0.275,0.23,0.249,0.26
0.17,0.165,0.17,0.164,0.17
0.17,0.165,0.17,0.164,0.17
0.18,0.045,0.038,0.037,0.04
0.18,0.046,0.045,0.04,0.044
0.18,0.043,0.021,0.02,0.028
0.19,0.08,0.059,0.072,0.072
0.19,0.078,0.068,0.09,0.081
0.19,0.169,0.21,0.167,0.184
0.2,0.225,0.2,0.222,0.223
0.2,0.225,0.2,0.229,0.226
0.2,0.084,0.074,0.061,0.074
0.21,0.169,0.21,0.167,0.184
0.21,0.065,0.049,0.089,0.071
0.22,0.091,0.085,0.104,0.096
0.22,0.079,0.151,0.097,0.108
0.22,0.087,0.076,0.061,0.075
0.23,0.231,0.231,0.234,0.238
0.23,0.222,0.207,0.228,0.226
0.23,0.08,0.071,0.099,0.086
0.24,0.073,0.072,0.062,0.07
0.25,0.222,0.209,0.224,0.225
0.25,0.226,0.218,0.228,0.231
0.27,0.065,0.049,0.089,0.071
0.28,0.225,0.2,0.235,0.228
0.28,0.252,0.246,0.243,0.254
0.3,0.251,0.234,0.243,0.25
0.3,0.251,0.234,0.243,0.25
0.3,0.233,0.253,0.226,0.242
0.32,0.252,0.237,0.239,0.25
0.33,0.225,0.22,0.233,0.233
0.34,0.225,0.2,0.222,0.223
0.35,0.275,0.23,0.249,0.26
0.39,0.265,0.227,0.253,0.257
0.41,0.275,0.23,0.249,0.26
0.41,0.251,0.234,0.243,0.25
